original_path,new_path,action,bytes,file_count,sha256,verified
data/raw/videos,data/sources/visem/videos,move_tree,35591403824,85,,True
data/raw/fatty_acids_serum.csv,data/sources/visem/clinical/fatty_acids_serum.csv,move_file,7527,1,e293fd4a23f995c5b46b8b6ab8cfa5d69d28518023c1f12b8cf29a80b933a716,True
data/raw/fatty_acids_spermatoza.csv,data/sources/visem/clinical/fatty_acids_spermatoza.csv,move_file,9286,1,f06a4d27fde242c41a1e456b8a0ee814e988e9bee94a7c8f630d07018a205f63,True
data/raw/participant_related_data.csv,data/sources/visem/clinical/participant_related_data.csv,move_file,1427,1,2731ff291118b2bbc0d5a2d6c0bec1ef593a903793489ee5646d333af8d55702,True
data/raw/semen_analysis_data.csv,data/sources/visem/clinical/semen_analysis_data.csv,move_file,5809,1,2fa0825aa19550aabdd2c2ee1fc77d62068fee7c890df2bc98ff2962e8826080,True
data/raw/sex_hormones.csv,data/sources/visem/clinical/sex_hormones.csv,move_file,3286,1,9318552669921f7450fa3bce3412014c4c252887e7351ccfde9709a170e3109d,True
data/raw/videos.csv,data/sources/visem/metadata/videos.csv,move_file,2136,1,e681568b3c3e09ed246b3d520e892289a9c315f51dee01d929336350a33b6ed8,True
data/raw/descriptions.txt,data/sources/visem/metadata/descriptions.txt,move_file,931,1,b7c84bf422888232f03c8705ca1f1dfe1511fde075694fab3424669916068033,True
data/tracked/VISEM_Tracking_Train_v4,data/sources/visem_tracking/dataset,move_tree,28902380705,117000,,True
data/tracked/visem-extracted-30s-excluding-selected-20,data/derived/clips/untracked_65,move_tree,3705184881,336,,True
data/tracked/visem-extracted-30s-selected-20-videos-excluding-first-30s,data/derived/clips/tracked_20_after_30s,move_tree,709638134,166,,True
data/tracked/fatty_acids_serum_Train.csv,data/sources/visem_tracking/metadata/fatty_acids_serum_Train.csv,move_file,2114,1,08c7e131b299c8963cfb1b4c5b1377631dc89039a54b8d17f0cc38bfc221dd8d,True
data/tracked/fatty_acids_spermatoza_Train.csv,data/sources/visem_tracking/metadata/fatty_acids_spermatoza_Train.csv,move_file,2596,1,47046d0ed7116c3f2894882d193e162b3d5dbbb0527e36746e24bdbb04a6dfe7,True
data/tracked/participant_related_data_Train.csv,data/sources/visem_tracking/metadata/participant_related_data_Train.csv,move_file,360,1,b17200ac657bcd0174c1a58d787aae9fd88315db45ca81a5ae929f3160a0ff42,True
data/tracked/semen_analysis_data_Train.csv,data/sources/visem_tracking/metadata/semen_analysis_data_Train.csv,move_file,1538,1,658a22dae8ab6c2489d248455583f8dff21c47dd17c71173c2fb05c9499a272e,True
data/tracked/sex_hormones_Train.csv,data/sources/visem_tracking/metadata/sex_hormones_Train.csv,move_file,1028,1,3fa3edc579420377e53286b0a8ac90a6f0573aa4c7738d5c3ccf3701b0e4f864,True
data/tracked/sperm_counts_per_frame.csv,data/sources/visem_tracking/metadata/sperm_counts_per_frame.csv,move_file,583324,1,d82aa0b91305cb7d2c6b02e56261df092937c8d9fa1464b89a7da5e6bd4e93df,True
