video_id,split,oof_fold,total_frames,annotated_frames,annotation_status
11,train,C,1470,1470,complete
12,train,D,1470,1470,complete
13,train,B,1470,1470,complete
14,val,B,1470,1470,complete
15,train,E,1470,1470,complete
19,val,B,1470,1470,complete
21,train,E,1470,1470,complete
22,train,C,1470,1470,complete
23,train,D,1470,1296,partial
24,test,A,1470,1470,complete
29,train,C,1470,1470,complete
30,train,E,1470,1470,complete
35,train,D,1440,1440,complete
36,val,D,1470,1470,complete
38,test,A,1470,1470,complete
47,test,A,1470,1470,complete
52,val,E,1440,1440,complete
54,test,A,1470,1470,complete
60,train,B,1470,1470,complete
82,train,C,1500,1500,complete
